"gpu_quota","throughput","req_count","avg_latency","p90_latency","p95_latency"
3,11.993279724617267,720,83.01781397500001,83.0745622,83.40633475
4,12.004398275467185,721,82.9289100319002,83.020447,83.336248
5,22.67229207106378,1361,43.736186961792825,44.088637,44.751189
6,22.798741212341483,1368,43.50648075877194,43.7239066,44.1914879
7,22.80233784782055,1369,43.49823514317021,43.7487628,44.1081422
8,30.682458944106973,1841,32.2255898745247,34.022357,35.25449
9,30.865345114444505,1852,32.05883025269976,33.88266,34.846548649999995
10,33.920465586622136,2036,29.110126654223958,31.840082,33.47500375
15,35.065140480388436,2104,28.14652768108365,31.0646725,32.301151149999995
20,34.148347857968645,2049,28.89995383064903,31.2441094,32.890511000000004
25,37.23231822996924,2235,26.489864594183423,30.894672,32.986763
30,36.29839776089406,2178,27.180473612488417,31.4048563,33.27679175
35,38.0814392260153,2285,25.886301693216623,30.675798,31.608947
40,36.68228288349312,2202,26.88987794504995,30.6888327,32.0192687
45,36.756270367554364,2206,26.834731117860372,30.771636,32.160978
50,36.41574129838917,2186,27.08352786642271,30.997538499999997,32.54532975
55,36.120452901434206,2168,27.317162662361635,31.053415299999998,32.76312035
60,36.62744261194065,2198,26.94206056687899,30.629856099999998,31.6451705
65,36.19539941271397,2172,27.259356626150996,30.982935,32.52290625
70,38.56010227133353,2314,25.573984391097618,30.752555200000003,32.77753475
75,37.154603727917575,2230,26.540860557399093,30.7601351,31.904541249999994
80,36.51211984828554,2191,27.029701117298096,30.605842,31.746510999999998
85,36.17610872385006,2171,27.267694265315566,31.050088,32.342554
90,36.177595225455256,2171,27.274261434362053,30.975437,32.380864
95,38.05005066867693,2284,25.908627915937004,30.6585354,32.00962535
100,36.26617607984402,2177,27.207321122645805,31.088706600000002,32.587188999999995
