"gpu_quota","throughput","req_count","avg_latency","p90_latency","p95_latency"
3,7.3145851520003085,439,136.331198621868,133.5887004,134.18884640000002
4,7.4661628233700315,448,133.56717257589287,133.6627408,134.14490475
5,14.383772849329832,864,69.1604925694444,69.3193341,69.65217085
6,14.374133426291255,863,69.20363444611812,69.34992199999999,69.7001269
7,14.375248384095103,863,69.19926198030129,69.38874820000001,69.85483140000001
8,20.652079957339836,1240,48.08514705725807,48.3811497,48.7871547
9,20.568251556952703,1235,48.259434878542486,48.4675314,49.0772455
10,26.2057162333968,1573,37.79821054227591,38.1463966,38.7616872
15,32.11617195611236,1927,30.763365540736824,32.6549288,33.8174934
20,35.97633447503915,2159,27.41292898193606,30.8196494,32.4454772
25,36.2091322408592,2173,27.24600305660373,30.4181768,31.8093146
30,35.0059217955881,2101,28.184760107567833,30.863569,32.270606
35,36.48347105277301,2190,27.029658613698583,30.7941393,31.950095199999975
40,36.360291753670595,2182,27.117305964711292,30.6248268,31.68108895
45,36.52954055819925,2192,26.99944998494526,29.951760500000002,31.095222399999994
50,36.04646982442344,2163,27.340010393435037,30.956715,32.600340300000006
55,35.677035929179006,2141,27.62621249322743,30.968381,32.343911
60,36.35938606744245,2182,27.100264366177836,30.700634400000002,32.00594484999999
65,36.502402071214654,2191,27.004083216339556,31.060023,32.5423495
70,37.222041887344155,2234,26.47190276410022,30.6478716,32.08089959999999
75,36.78772741915801,2208,26.788032004076115,30.9260932,32.46074705
80,37.23375778964586,2235,26.486126242058194,30.2151882,31.103641999999986
85,35.485861737161024,2130,27.772165125821555,30.727776600000006,31.996118250000002
90,36.83982262077883,2211,26.738575059249225,30.832612,32.2264275
95,37.96206559851521,2278,25.951094326163346,30.2649276,31.379190350000002
100,36.505617260818426,2191,26.986533394340444,30.427624,31.855893000000002
