"gpu_quota","throughput","req_count","avg_latency","p90_latency","p95_latency"
3,3.365589941803634,202,296.69840510396045,296.4063877,296.85914805
4,3.3646811330569757,202,296.7803996089109,296.7237084,297.25291095
5,6.60761164489521,397,150.9437776095718,151.1141424,151.74563
6,6.614243535460804,397,150.80984765239285,150.727324,151.5158582
7,6.616058664769097,397,150.75718655919394,150.6702254,151.24912139999998
8,9.69401499495617,582,102.77809717697592,102.9889879,103.5457836
9,9.696727627873312,582,102.77434465292095,102.97584210000001,103.65439249999999
10,12.805752348484411,769,77.7196787581275,77.856798,78.32539659999999
15,19.249683882332942,1155,51.596324183549754,52.006026000000006,52.5571895
20,23.10550746788615,1387,42.908852084354734,43.743847,44.390661200000004
25,27.099434833156725,1626,36.53667603198028,37.996091,38.7715415
30,29.934848030640055,1797,33.0256504557596,35.0351232,36.21786339999998
35,31.668584482353097,1901,31.205075458179873,33.697644,34.831221
40,33.06846882621895,1985,29.861181879093213,31.748270599999998,33.129942400000004
45,34.66885110607139,2081,28.47272290533399,31.681913,32.987757
50,34.85424392982509,2092,28.324811599426365,31.330645200000003,32.645925649999995
55,34.33994912499581,2061,28.749610568656003,31.439473,32.894653
60,35.47044385525202,2129,27.814727241427903,31.170787200000003,32.42530359999999
65,34.77039297004769,2087,28.386285340680413,31.8796036,33.6682202
70,33.773058281124925,2027,29.229431279723798,31.194272,33.1060426
75,34.3973582920558,2064,28.69583911821706,31.686570800000002,33.1998019
80,35.42384118210448,2126,27.856024494355637,31.4043245,33.000895
85,36.324718820318,2180,27.157322088532055,31.254801000000004,32.96766394999998
90,36.541265297747444,2193,26.992122727770116,31.3054004,32.5746762
95,37.78791462191072,2268,26.09953834832454,30.8468661,32.09473065000001
100,36.11456076884494,2167,27.322844796492863,31.902247199999998,33.2875067
