"gpu_quota","throughput","req_count","avg_latency","p90_latency","p95_latency"
3,21.42981882804466,1286,46.3207811601866,46.600984499999996,46.90302525
4,21.381344743903995,1283,46.419956771628904,46.587393399999996,47.052322
5,38.777805177182834,2327,25.418825350236418,25.9014606,26.4924352
6,38.995114288482505,2340,25.276039613247857,25.7616176,26.3149722
7,39.20974256921419,2353,25.142737577135627,25.7579246,26.447613800000003
8,47.51970619114038,2852,20.67451440883588,22.270309,23.424322099999998
9,48.589794656274464,2916,20.223852173182422,22.1689815,23.2377725
10,49.34793956643216,2961,19.889601423167907,21.587689,22.839921
15,49.44840451673509,2967,19.844728834175946,22.0491622,23.2840371
20,51.78718481143302,3108,18.945577632239363,20.884022899999998,21.987699149999987
25,51.916329299649256,3115,18.88637209213482,21.192524199999998,22.4202693
30,50.63015355041907,3038,19.37726202830815,21.4692039,22.72737325
35,50.04081018702409,3003,19.61219077455879,21.0912396,22.199514600000004
40,51.60514895905504,3097,19.017129774297704,21.3411226,22.6467624
45,52.817164603114605,3170,18.56307564290222,20.707418800000003,21.555555249999998
50,51.94123778241485,3117,18.89202504395253,21.1867364,22.1974572
55,50.94039436425724,3057,19.262993709192028,21.347658000000003,22.6702764
60,50.74783280618784,3045,19.321680750410515,21.3175852,22.5432254
65,52.45533979717929,3148,18.694314729669635,21.0343577,22.219828949999993
70,51.909731289511946,3115,18.8954722388443,21.301325199999997,22.240578199999998
75,51.584078044714964,3096,19.018317749353944,20.7902415,21.718830750000002
80,51.89853204805504,3115,18.894161114606685,20.6294078,21.493589
85,51.93646123531266,3117,18.882872978184174,21.564062200000002,22.623949999999997
90,52.055242885941894,3124,18.835431857874546,21.6646103,22.7187025
95,52.47479604172054,3149,18.691140111463966,21.157563800000002,22.1671186
100,52.53246377571803,3152,18.662021439086292,20.732172400000003,21.667384349999995
