"gpu_quota","throughput","req_count","avg_latency","p90_latency","p95_latency"
3,5.934692713848464,357,168.09048623249288,168.1078624,168.7723112
4,5.914589717775177,355,168.67885471267604,168.6330864,169.0302309
5,11.34757593517863,681,87.74642529368582,88.829532,89.699118
6,11.338146760476318,681,87.83433889427306,88.8734,89.983937
7,11.307530284529916,679,88.06655290279822,88.889695,89.8762812
8,15.501323360437945,931,64.13277664876483,65.530358,66.719367
9,15.828711832517762,950,62.81520815894734,64.5856321,65.4221537
10,18.915227610651723,1135,52.506684442290734,55.271477000000004,56.2099528
15,24.597344628506868,1476,40.29161666598915,43.308727000000005,44.069942
20,28.224796550276846,1694,35.06461908264463,39.160672600000005,40.7179356
25,28.818005140624155,1730,34.32855831560693,37.5426026,38.6899485
30,30.695521098850303,1842,32.20234216883816,34.9312353,36.23331405
35,32.39760759542735,1944,30.492212062757194,33.4980329,34.8577594
40,36.56289589560315,2194,26.99939424931624,32.229114,33.3817819
45,35.54865122255495,2133,27.769380264885136,31.5702456,33.11563039999999
50,33.58888277397206,2016,29.38957522420634,31.9244695,33.82149125
55,34.81889255512006,2090,28.33188466459329,30.6183739,32.0630279
60,35.069585124866904,2105,28.12885493776726,31.0197258,32.535284
65,35.31591184908794,2119,27.936300662104806,30.209982,31.596288299999998
70,36.197262149492666,2172,27.25304558379373,28.8163076,30.089229899999996
75,38.05309117882226,2284,25.905441802101574,28.442122800000003,29.67838605
80,36.9504158977726,2218,26.68971525112716,29.4410749,30.6774484
85,36.89345919674225,2214,26.731338582655827,29.0321874,30.419358199999998
90,37.01307468410007,2221,26.640883227375035,28.807615,30.133081
95,39.78836045693317,2388,24.743032409547737,27.7390403,29.091434400000004
100,41.71932463633256,2504,23.592683928514386,27.1308815,28.083331299999998
