"gpu_quota","throughput","req_count","avg_latency","p90_latency","p95_latency"
3,0.5139151572403355,31,1945.1906683225807,1944.317778,1947.390167
4,0.5130498659960694,31,1948.5195364516128,1949.050059,1952.192867
5,1.0186800817682402,62,981.1148158548389,979.0837322,983.8317252999999
6,1.0187269028613046,62,981.0436662258066,980.8905931999999,981.65657245
7,1.0188517554805467,62,980.993399629032,978.8111352,981.55383895
8,1.5128524337864813,91,660.4861146263735,660.425213,661.072381
9,1.5106926252525334,91,661.4055356703298,662.449993,665.1344815
10,2.006501022186906,121,497.8816407107436,496.876748,497.348733
15,2.9652568438006845,178,336.7577090112361,336.80516470000003,338.38985155
20,3.912950808972603,235,255.08556888510645,255.0553094,255.433303
25,4.835436286774255,291,206.34011287285216,206.388661,207.02778999999998
30,5.681866045688855,341,175.5840924985337,176.344954,176.865814
35,6.569734846340531,395,151.8038197544302,151.98299699999998,152.85635019999998
40,7.273585668170421,437,137.10067611441642,137.8653002,138.44462760000002
45,8.154946170351343,490,122.24716399591837,123.053948,123.82277675
50,8.893493720097986,534,112.05448638951303,112.9432186,113.8926855
55,9.395781114350449,564,105.94943821631193,107.3050022,108.12929625
60,9.831764866968223,590,101.2152986949152,102.45113429999999,103.12185305
65,10.741869458776131,645,92.60825798449608,94.006809,95.02337680000001
70,11.715572038790283,703,84.8731433897581,86.78218820000001,87.6781401
75,12.036947385025416,723,82.67412709266934,84.2191494,84.91572090000001
80,12.424643272562369,746,80.11526471581773,81.336512,82.31877275
85,13.340553010563342,801,74.58239689138574,76.415472,76.984759
90,13.50837852222548,811,73.64756760419233,75.431492,76.0342615
95,14.272305867128427,857,69.68566602450407,71.6808288,72.5937946
100,14.307938997957836,859,69.5113323131549,70.5262604,71.2476018
