"gpu_quota","throughput","req_count","avg_latency","p90_latency","p95_latency"
3,11.69103300496427,702,85.17465171082614,85.869088,87.20354169999999
4,11.709717129294589,703,85.04352009815084,85.2815842,85.7966037
5,18.00325633057839,1081,55.187202719704,56.329135,57.930787
6,18.859932680867463,1132,52.65880880918721,55.100705999999995,56.01613705
7,18.52283257253376,1112,53.63067557913663,56.1315419,57.91837115
8,21.571768397302545,1295,46.00107946254833,51.3189762,52.6071148
9,20.493751060455395,1230,48.423404999186985,53.3318548,56.57786845
10,21.248384201683216,1275,46.690206942745114,51.666182,53.911200199999996
15,23.312013111341905,1399,42.56235960114366,51.2561306,53.1240252
20,20.498429783381418,1230,48.4064784447155,53.418263300000014,56.09018705
25,20.731939984911683,1244,47.85519246141479,52.8432145,55.61886304999999
30,22.24111489071066,1335,44.588343037453136,52.168741000000004,54.396451400000004
35,20.85986441750479,1252,47.57705337300318,52.2270288,54.74486555
40,20.94538857528063,1257,47.37230541368337,51.35569200000001,53.4055344
45,21.26520924846242,1276,46.66710634090914,51.521337,53.0826985
50,22.58959459908953,1356,43.89909546607665,52.032354,54.12666475
55,20.293090926664597,1218,48.92028950985218,54.3838495,56.42496314999997
60,20.1865237021926,1212,49.19127882508249,52.128512,54.015934
65,20.94530459541862,1257,47.39725015990453,54.002702,55.5378952
70,20.199590914207914,1213,49.12998021599337,54.2714352,57.84840519999999
75,20.82402464308599,1250,47.674039628799996,53.0751422,55.8639278
80,20.707948408130374,1243,47.934525578439306,52.587024,55.296744499999996
85,20.38809025935703,1224,48.679471072712445,52.3612474,54.28506539999999
90,20.17288275461157,1211,49.20020506440952,54.171049,58.780961500000004
95,20.848108401436743,1251,47.60397069304563,51.822749,54.1711095
100,20.9223578096453,1256,47.436593083598744,51.337051,52.961929749999996
