"gpu_quota","throughput","req_count","avg_latency","p90_latency","p95_latency"
3,16.888414036533465,1014,58.815304463510834,61.050436499999996,63.56066764999999
4,17.748953353095246,1065,55.96941865821596,58.0252986,59.7877884
5,20.83201401862312,1250,47.62607878879995,50.6224502,52.06620155
6,21.611694159826623,1297,45.90288337702393,52.08361260000001,54.5181842
7,20.778124736051478,1247,47.73266288211704,52.4873262,54.7454752
8,21.53940134945523,1293,46.024029467904136,48.2537988,50.8335218
9,24.07230640235036,1445,41.16612681868513,46.1414856,47.7189966
10,23.473200141791384,1409,42.2244095400993,46.1463642,49.10196659999999
15,23.56532817684226,1414,42.05958768316832,45.6874162,47.818892749999996
20,24.738051232231932,1485,40.038659897643036,43.8864096,47.646659799999995
25,26.112336809499684,1567,37.91643103637519,42.7850108,45.2052603
30,26.066545925557055,1564,37.97938552877239,42.3744017,44.619526949999994
35,25.65564850804995,1540,38.582911508441626,42.712212300000004,45.513549049999995
40,25.94912422527462,1557,38.1494780488118,42.2331808,43.9813604
45,26.600499268032113,1597,37.218910149029355,42.875880800000004,44.4878596
50,26.365252009669693,1583,37.54966134870494,40.9184378,43.207947099999984
55,26.66633598498958,1600,37.11638359062505,41.483139900000005,43.53649465
60,26.926202851628066,1616,36.756326108292,40.929430499999995,42.7856525
65,27.433344151437463,1647,36.06517441165754,40.9842002,43.077160699999986
70,26.557845664134245,1594,37.26526402195729,41.925105200000004,43.8864149
75,25.5365032268494,1533,38.77237208741036,41.4907848,43.41426299999999
80,26.444381487876083,1587,37.42186690926278,41.165615,43.008509699999955
85,27.015092790773757,1621,36.63042719432446,42.274389,45.235087
90,25.65403543584395,1540,38.59162865194802,41.3065941,42.88833605
95,26.433419429279528,1587,37.441526507246365,41.410001,43.0759811
100,26.645358112607294,1599,37.1463348461538,41.9870776,45.0796068
