"gpu_quota","throughput","req_count","avg_latency","p90_latency","p95_latency"
3,0.9475735656478702,57,1054.77783922807,1040.1264866,1042.311651
4,0.9446139442599858,57,1058.1019881754385,1044.1870066,1049.146701
5,1.848251954136781,111,540.552955990991,532.307517,534.329247
6,1.8543220990855631,112,538.8171979107144,531.9188143,533.5514733
7,1.8474882238913166,111,540.7998242522522,535.508072,538.2519055
8,2.738541717350608,165,364.7057433212122,360.6975914,362.0663804
9,2.723173054032173,164,366.7559235853661,364.4995197,367.21540734999996
10,3.605054537073736,217,276.95733850230425,274.11779839999997,274.9905278
15,5.169770258567092,311,193.01842119935705,191.386917,192.5832855
20,6.710805021076358,403,148.60475230521095,147.49337200000002,148.4401692
25,8.083216055433509,485,123.33411334020624,122.811925,124.009959
30,9.338946775608578,561,106.66335677718367,106.548724,109.18251
35,10.642119657077817,639,93.58055279968698,93.074693,93.8363092
40,11.659126272100627,700,85.37771651857136,85.9151768,87.58523905
45,12.775576970108261,767,77.88479811994783,77.55458519999999,78.5948965
50,13.431056832550034,806,74.06297777171218,74.5042455,75.43907475
55,14.32365735758814,860,69.44418104883731,69.8541032,71.24247924999999
60,15.184306352287718,912,65.47725676315794,66.3266441,67.91172909999997
65,15.441798087658924,927,64.38173977130529,66.0756198,67.8733572
70,16.137609055066925,969,61.59436075954581,63.7882676,65.50529099999997
75,16.986020490132304,1020,58.49988296862754,59.066946699999995,60.62811815
80,17.776266678341724,1067,55.87728483786319,56.480588,57.5072512
85,18.19412176854312,1092,54.58540747435892,55.4450138,57.45291865
90,18.0418240202868,1083,55.05420682548477,57.28148800000001,60.060246
95,18.87091742299657,1133,52.63307602736097,54.0839862,55.777565999999986
100,19.382982449986084,1163,51.224393398108326,53.3813638,54.9140707
