"gpu_quota","throughput","req_count","avg_latency","p90_latency","p95_latency"
3,0.48639083064410904,30,2055.3449101666665,2011.2162258,2014.61810295
4,0.49135235782331177,30,2034.6113387000003,2012.4559025,2016.9723291
5,0.9688067352559249,59,1031.6243500338985,1017.4279236,1020.1137232
6,0.9688376837796402,59,1031.5925087118644,1016.9406608,1020.4578121
7,0.9697738460595645,59,1030.6663191186444,1016.1891774,1021.9831806000001
8,1.4411757465733066,87,693.3687380804596,683.483325,687.7187233999999
9,1.4386423616089896,87,694.6564389770116,684.9589276,686.3640135
10,1.9048310651315925,115,524.4826154608697,520.6220444,522.5279447
15,2.7956589022078866,168,357.23635764880953,352.68488510000003,354.710529
20,3.6613771591135014,220,272.66106178181815,269.3668593,270.2113518
25,4.4896183224233805,270,222.30822722222226,220.2279365,221.63807070000001
30,5.279882673316025,317,188.98047381388025,186.984174,187.821034
35,6.03408644581861,363,165.35515598347112,163.87608360000002,164.9830345
40,6.824943159075145,410,146.13064444390238,145.0196662,145.7656938
45,7.398522927685612,444,134.76308680180176,133.7389981,134.5285563
50,7.985185781526992,480,124.84798824583326,123.8239691,124.3063791
55,8.618800598769747,518,115.62391803088818,114.4838229,114.9907901
60,9.298615435696695,558,107.15159280645167,106.3317423,106.9498694
65,9.799365911613343,588,101.66676988265309,101.0583386,101.72740335
70,10.314511377140926,619,96.56881716155085,95.7631062,96.4265081
75,10.860146633557266,652,91.69987944478527,91.075711,91.66578684999999
80,11.348636328566078,681,87.72472018502212,87.697634,88.644716
85,11.54404658433425,693,86.22442685569978,86.13349240000001,88.1716934
90,12.092135278036665,726,82.31498193112948,82.043249,82.67012675
95,12.503670558632168,751,79.59918737683088,79.094601,79.850513
100,12.719348087887218,764,78.24127724214662,79.91890620000001,82.8034823
