"gpu_quota","throughput","req_count","avg_latency","p90_latency","p95_latency"
3,0.4808111475773957,29,2079.246384965517,2079.268467,2081.115914
4,0.48036407802436804,29,2081.1824158620684,2082.6572916,2084.2882474000003
5,0.9530909463385577,58,1048.6876903275863,1048.9483896,1054.6515175
6,0.9537701359522933,58,1047.9080883793101,1045.5579386,1046.60347755
7,0.9511939115945863,58,1050.715824586207,1050.8324794,1053.04610465
8,1.4099278776026483,85,708.7145652705882,707.8740272,710.0866176000001
9,1.4069961475746782,85,710.1757958352941,711.3142852,713.3118518
10,1.8638298420997546,112,535.9811062857142,535.5985871,536.44567655
15,2.7517139046739945,166,362.903360373494,362.5499985,363.11729575000004
20,3.6225100266745898,218,275.5415450779816,275.58051820000003,275.9340946
25,4.4899555810588465,270,222.16515630370372,222.37789170000002,223.1680115
30,5.243426556100772,315,190.24916180317453,190.9576026,191.7768753
35,6.060239258318508,364,164.5574209862638,165.4206973,166.3407937
40,6.682262282626679,401,149.17104879800496,150.009763,151.337959
45,7.425976137700517,446,134.16639891479824,135.20021350000002,136.188548
50,8.156263167034314,490,122.10295135306121,123.50384,124.27389754999999
55,8.541552304834356,513,116.60296550292392,117.64419219999999,118.5104044
60,8.96507160874635,538,111.0598850092937,112.30077490000001,113.4907346
65,10.236107049507517,615,97.22338298048773,98.7105948,99.4251306
70,10.523493540819759,632,94.53718098892404,95.71690179999999,96.30073985
75,10.913054125271179,655,91.14761292671763,92.066494,92.9267912
80,11.413610606988613,685,87.16235926131392,88.6326164,89.5742956
85,12.111115170868716,727,82.10286149243463,83.776738,84.8076589
90,12.449584503584742,748,79.8619940628342,81.5189124,82.5492546
95,12.772833516866553,767,77.83148883963496,79.4810774,80.29847369999999
100,12.97938182240589,779,76.60230290629015,77.9970012,78.62429489999998
