"gpu_quota","throughput","req_count","avg_latency","p90_latency","p95_latency"
3,0.9921680945838182,60,1007.319192383333,994.9494886000001,996.78486995
4,0.990236894473269,60,1009.3004945333331,994.9865785000001,998.25904555
5,1.937726546532338,117,515.5353024017096,508.5570974,512.0356308
6,1.9381951522729803,117,515.4555932820514,509.614122,511.8938844
7,1.9403624375782325,117,514.8565362393161,508.12796699999996,508.94577319999996
8,2.8416285818996814,171,351.4543771345029,345.421958,346.662482
9,2.8530881992371593,172,350.0192747965115,345.5851392,346.45353495
10,3.756001156456801,226,265.81349714159273,262.62366499999996,263.064317
15,5.403490376781303,325,184.66223009538461,183.3359292,184.2925422
20,6.9938140074120225,420,142.59530994523823,141.1388175,143.39125874999996
25,8.404930016508164,505,118.5916572257427,117.5966384,118.9249912
30,9.696084399371134,582,102.7479462542956,102.2419438,102.97192600000001
35,10.894505370197823,654,91.41439859480114,90.97494139999999,91.6892594
40,12.108565126436602,727,82.21971812242091,81.72144899999999,82.56233189999999
45,13.087580111798408,786,76.03000287786253,76.0166545,77.19636475
50,13.872738783302152,833,71.70810167827133,72.4515742,72.9917816
55,14.77358822468457,887,67.3082360394588,68.5540006,69.9804303
60,15.582842091508393,935,63.81526283101601,65.5290112,66.1207457
65,16.08616477815751,966,61.80334553002068,61.7394395,62.6469795
70,16.735922404815597,1005,59.38808931940298,59.1335106,59.7324466
75,17.298755329759143,1038,57.445779657032766,58.17182760000001,59.759745349999996
80,17.76777274912427,1067,55.91214708434869,57.3919572,59.6479017
85,17.864315709618783,1072,55.622731531716376,57.8233795,59.89672055
90,18.71099433611425,1123,53.07703209795176,54.6440902,57.648165299999995
95,19.253570179970797,1156,51.5774313321799,53.340838,55.577202
100,18.746768931572966,1125,52.94968160088896,54.1722456,56.093510800000004
