"gpu_quota","throughput","req_count","avg_latency","p90_latency","p95_latency"
3,43.24506022416249,2595,22.760571332177285,25.620569,26.9002908
4,45.730532180142376,2745,21.5097882043716,25.11609,26.2593542
5,44.12473393894802,2648,22.292374102719055,25.878364100000002,27.49114055
6,44.08421235467575,2646,22.31172177664395,26.249343,27.68551825
7,45.72614397252014,2744,21.5148497638484,25.7458234,27.039971350000002
8,44.00442261722496,2641,22.363591992427107,26.22614,27.255497
9,44.64285400719835,2679,22.036064275102635,25.433584400000004,26.936850699999997
10,43.751961022956195,2626,22.476913836252876,26.116926,27.33554625
15,43.564941174067776,2614,22.584336951032885,25.7699998,27.0238148
20,42.09729992829612,2526,23.379201186064922,26.0199595,27.14857475
25,43.33216726188015,2601,22.710101685890045,25.611906,27.326903
30,43.24626603017765,2595,22.759722347591524,26.0014794,27.440921599999996
35,42.008693980865885,2521,23.42964320388731,26.347973,28.105874
40,44.573699091550345,2675,22.063989173457962,25.1723474,26.171118699999997
45,41.06774464443387,2465,23.98250864016223,26.5324362,28.1858104
50,41.61885710175944,2498,23.6623143066453,25.672535800000002,27.048536350000003
55,42.311426948603206,2539,23.255484250492344,25.95485,27.503376199999998
60,41.65332343825956,2500,23.629455471599982,26.214627099999998,27.845371399999998
65,41.65386190018764,2500,23.639775312799983,25.9781217,27.413516599999998
70,42.272176679398285,2537,23.28949892077257,25.790348200000004,27.393447000000002
75,43.25618317885632,2596,22.757268649075524,26.1838765,27.52121275
80,42.663259005692694,2560,23.066957641406265,25.218900299999998,26.1085422
85,44.41792389530693,2666,22.146430474118507,25.5225155,26.49900625
90,42.91944991992039,2576,22.921590069875748,26.3686825,27.609482
95,41.7815985599684,2507,23.55663885959311,26.3732558,27.837951199999996
100,41.209133738668434,2473,23.898151401132303,26.4608814,28.0122382
