"gpu_quota","throughput","req_count","avg_latency","p90_latency","p95_latency"
3,17.699512277549534,1062,56.090262974576284,56.3451256,56.959593649999995
4,17.77140474025415,1067,55.852134194939104,56.1755252,56.7329827
5,31.444176586710547,1887,31.41850324748281,32.939565200000004,34.0881715
6,30.97870555978344,1859,31.881594207100623,33.4647988,34.987697499999996
7,31.50414064817361,1891,31.354958391856172,32.629637,33.6400055
8,36.64521849524552,2199,26.910330359254225,29.1988786,30.4151361
9,37.146426467959856,2229,26.556870048452183,28.8674308,29.766942
10,39.734969621914736,2385,24.788945451153065,27.1700816,28.533367399999992
15,41.97833855261452,2519,23.443598698292995,25.935648,27.0174679
20,42.30199867846577,2539,23.260953317447836,26.186840200000002,27.376440699999996
25,43.61866184601818,2618,22.54235527234527,26.4459616,27.850536350000002
30,43.15093481967273,2590,22.78994306409262,26.5965734,27.8721465
35,41.71649613241158,2503,23.589789307630838,25.6044422,26.6360804
40,42.66195653424871,2560,23.064112343359348,26.017896,27.718244849999998
45,43.17490675437904,2591,22.77712327402551,25.642045,27.38335
50,42.2002977450954,2533,23.31353086695616,26.1258914,27.4882158
55,42.63811475555814,2559,23.077239677999202,25.738312000000004,27.0257127
60,42.57708985158528,2555,23.099179246183933,26.380422199999998,27.657646599999996
65,44.290350234037376,2658,22.203832275395037,25.6330348,26.8685596
70,44.955544658923976,2698,21.864297538547056,25.3041245,26.5733764
75,42.257358465766536,2536,23.278218811514133,26.1952855,27.6712045
80,42.54044668125368,2553,23.12067438151192,25.9527192,27.132504800000003
85,42.98215302492339,2580,22.887563828682186,25.915183799999994,27.68696445
90,43.21759465871632,2594,22.763074848882063,25.5727672,26.892446649999997
95,42.523487072347365,2552,23.137796804467083,25.7638137,26.771893549999994
100,42.2486128942456,2535,23.277697119526625,26.239847199999996,27.520146299999997
