"gpu_quota","throughput","req_count","avg_latency","p90_latency","p95_latency"
3,52.103592731576455,3127,18.813033910137495,20.8077732,22.081127
4,53.61595677884021,3218,18.275284676196417,20.531348,21.6321913
5,54.148685575854294,3249,18.093306009541404,20.3694664,21.4583124
6,52.876610806372916,3173,18.535236710368757,20.9831524,21.888356199999997
7,52.292876466526344,3138,18.74706085691524,20.8959763,22.190004549999998
8,53.0470053904517,3183,18.46992888218666,20.637445,21.8746339
9,54.10582941602214,3247,18.10645274776715,20.564617,21.855668299999998
10,54.19678441625917,3252,18.083599955104535,20.3512879,21.4123098
15,54.57263134108742,3275,17.953565517251892,21.2228416,22.387707299999995
20,53.93181318428101,3236,18.16766094962919,20.577768499999998,21.78332475
25,51.46951464620605,3089,19.059162345095448,20.9543878,21.8804362
30,53.46460168464319,3208,18.321822473503715,20.685918400000002,21.974157549999983
35,54.26639875526489,3256,18.05657480098281,20.8583005,22.16214175
40,53.482025975013414,3209,18.324812132440055,20.3193562,21.431982
45,51.0657984451104,3064,19.201979309073106,20.6691932,21.54415895
50,53.538048674625344,3213,18.308285395269245,20.575724,21.720563000000002
55,55.374496506903085,3323,17.68305182184767,20.1051004,21.145544899999997
60,54.02364777207247,3242,18.138525928439236,20.640512,21.6477667
65,54.07587574643317,3245,18.11476500431432,20.5430614,21.609419
70,55.32693726736112,3320,17.708635721084384,20.3760913,21.340080449999995
75,54.13635751158891,3249,18.096555355801783,20.500002000000002,21.75697
80,55.389095142652565,3324,17.676339996690707,20.7062986,21.8279246
85,53.70538491072193,3223,18.243988292894826,20.5600902,21.63565389999999
90,56.116901537632124,3368,17.455471464370543,20.6256396,21.705529549999998
95,55.43914668564524,3327,17.66616452960624,20.6848824,22.0920665
100,56.41701648281,3386,17.351886317188374,20.226005999999998,21.4045515
