"gpu_quota","throughput","req_count","avg_latency","p90_latency","p95_latency"
3,46.633110100746904,2799,21.06954655948549,23.400238,24.636308099999997
4,47.44621700873621,2847,20.715266927994417,23.4446456,24.7624104
5,47.21770461936749,2834,20.795708641143236,22.8469885,24.1574121
6,47.16855676644384,2831,20.824393315083054,23.003125,24.1200355
7,45.37022468672145,2723,21.669584966213694,24.3322042,25.9909967
8,46.43837475812612,2787,21.16057276354503,23.622264,24.9904644
9,46.648668977415454,2799,21.069270996427306,23.4892898,24.748379099999998
10,46.33281705138621,2780,21.21036644280575,23.3568659,24.956209649999995
15,46.52292725554888,2792,21.11570953116046,23.5711291,25.029247149999996
20,46.02103507383724,2762,21.359581452932666,23.7525794,25.1113289
25,46.26838263470828,2777,21.235619558156273,23.339123400000002,24.6188166
30,46.16176108555189,2770,21.29982544548737,23.6220169,24.858132949999998
35,45.94979951336642,2757,21.38932839064201,23.4349056,24.7869192
40,44.64595403259342,2679,22.02868745427396,24.5639432,26.116465399999996
45,46.42899663677156,2786,21.167055947954047,23.0379785,24.3233015
50,47.04347817523071,2823,20.890374132128947,23.8219482,25.167512500000004
55,47.466740708348865,2849,20.694576871182882,23.4536112,24.7854906
60,47.484062771271674,2850,20.69250337403509,23.4752659,24.660296
65,48.31200698889139,2899,20.331481066574735,23.020080600000004,24.376155099999995
70,48.20551447916669,2893,20.369861166954742,22.6489352,23.6240798
75,49.05691449219356,2944,20.014768832201106,23.6547244,25.12804655
80,46.78696787453147,2808,20.991305256054122,23.566938800000003,24.69242245
85,49.10848153424271,2947,19.994658283678337,22.908149400000003,24.0459392
90,47.90402888364994,2875,20.50130546086957,23.5420218,24.927076099999997
95,48.73176687667736,2924,20.156309836183308,23.06473,24.59943475
100,48.276648704756596,2897,20.34701382222986,23.3333836,24.728726399999996
