"gpu_quota","throughput","req_count","avg_latency","p90_latency","p95_latency"
3,0.876423987741557,53,1140.4178966603777,1126.0063668,1128.0049185999999
4,0.875464953087399,53,1141.710743773585,1127.2825394000001,1130.8617656
5,1.7217957423716463,104,580.2454174230768,573.3656633,574.2454033
6,1.721297903523947,104,580.5003472692309,574.5187124,576.40697255
7,1.7158483368711008,103,582.3120320679612,576.6495284,581.6381226
8,2.5274104933057093,152,395.1977227828946,390.9073039,393.587112
9,2.5297468943805157,152,394.86311369736836,390.4029041,391.37669895
10,3.317619750686253,200,300.9848610850001,299.359091,302.4290868
15,4.792112814307462,288,208.27976282291658,207.03196450000002,208.53444565
20,6.218376007376298,374,160.4025822967915,158.9161628,159.7539472
25,7.537164326480529,453,132.2811947328919,131.4774682,132.3666516
30,8.68736698252856,522,114.71500381226059,114.3245222,115.28613714999999
35,9.80603237381545,589,101.58983163327673,101.2079972,102.2526232
40,10.95931571551387,658,90.85717284650454,90.5416763,91.4237096
45,11.79372941913072,708,84.41292341242941,84.90909570000001,86.373459
50,12.635089243370029,759,78.76676839130434,79.1381956,80.0335182
55,13.362478245074838,802,74.46279323940148,74.9907053,76.8270648
60,14.271623759083013,857,69.70342321470243,70.2358802,72.2943468
65,14.587566877924932,876,68.17809565296807,69.64615549999999,70.6944525
70,15.05288818259105,904,66.04516859070787,67.1221494,69.1349312
75,15.723581995723077,944,63.23473922881359,64.6292176,66.9287284
80,16.346965064423348,981,60.80431647808354,61.679348,64.167758
85,16.7966361147299,1008,59.17184971428576,60.00148120000001,61.457416349999995
90,16.8596795169903,1012,58.93125772430835,61.197323,64.1755508
95,16.83987993438243,1011,58.99118746191889,61.301,64.54501250000001
100,17.614093435205877,1057,56.40103891579941,57.0733748,58.137571
