"gpu_quota","throughput","req_count","avg_latency","p90_latency","p95_latency"
3,4.956430415355396,298,201.32161206040266,201.3829617,202.31793055
4,5.019465044911315,302,198.79410777483452,196.7060706,197.18738175
5,8.830000522483626,530,112.85210518301892,112.32060700000001,113.4578081
6,8.80982422008872,529,113.12261087901703,112.563161,113.8064388
7,8.788408395309673,528,113.38331249242424,113.10020709999999,116.51856185
8,11.789350686205783,708,84.45264116242933,84.54401240000001,88.37144694999999
9,11.775459462172002,707,84.55468085714283,85.002484,87.9739916
10,13.816265888800915,829,71.99943181785287,72.33787860000001,74.0677458
15,17.68983588112293,1062,56.15970680414308,56.9223339,58.25932105
20,18.740658280973136,1125,52.99000318755551,56.3605134,57.1681732
25,21.152058073200752,1270,46.90535340157476,50.1434635,51.363767849999995
30,21.619967945900065,1298,45.89441838983051,48.118380099999996,49.819947649999996
35,21.697349980780064,1302,45.72791742933945,47.5773692,48.6500259
40,22.718438256232282,1364,43.65781939882697,47.3743413,49.97819095
45,22.84248168572983,1371,43.41750561415024,47.014227,47.9873445
50,22.847058718400987,1371,43.40268208752734,49.207628,51.48589
55,22.499343405583375,1351,44.07967234048856,49.16689,51.9005915
60,22.022985714938095,1322,45.037000531770005,48.310545499999996,49.75482895
65,21.828729807745614,1310,45.43252098778627,49.3126627,51.856768249999995
70,21.88669965689437,1314,45.318844220700115,48.2899463,50.9588866
75,22.04735517061217,1323,44.97312178458046,47.3113346,48.144502399999986
80,22.34793970581949,1341,44.364236765100735,47.870348,49.607873
85,23.02001087151262,1382,43.07366094283651,48.0445682,49.87743505
90,23.586484755543193,1416,42.02778108545198,47.6873695,50.2685405
95,22.867736827916854,1373,43.36118870793876,48.0069626,49.261742799999986
100,22.725001844298422,1364,43.6341031231671,48.072267100000005,51.5114492
