"gpu_quota","throughput","req_count","avg_latency","p90_latency","p95_latency"
3,12.346449257290134,741,80.60500622672068,82.32115,84.307259
4,12.897986878553565,774,77.14771716408264,80.4012692,86.11504734999998
5,12.663313740936738,760,78.59629980394746,86.03670890000001,92.13726055
6,12.245036989976255,735,81.277283659864,82.2293786,83.9587252
7,12.550663627568323,754,79.29810097082225,81.8138802,84.23509299999999
8,12.481199266679718,749,79.73039210146844,85.46362080000002,93.21497400000001
9,12.2012755181467,733,81.57236379536153,81.91374,83.6199042
10,12.710333995477228,763,78.29707442070776,83.0216748,86.7814616
15,12.953219935528205,778,76.82819256041124,80.3571363,82.48702585
20,12.704950864198732,763,78.3379984705111,82.2057562,85.5701077
25,12.18110283332187,731,81.70383080984949,89.564649,94.176966
30,12.271192983785417,737,81.09805449932148,83.3097492,88.67033459999998
35,12.02592632759569,722,82.78064776731306,84.11644679999999,87.28036689999999
40,12.925813597365675,776,76.98823738788651,81.170756,86.150082
45,13.295020680828427,798,74.84749192731826,81.5083407,90.7274618
50,12.838295043324596,771,77.51795365888455,82.410994,84.231617
55,12.58543973465778,756,79.08495415873017,89.99652,92.580742
60,12.88923282425982,774,77.21504018733846,80.8985054,84.41374859999998
65,12.67105067633588,761,78.5580502076215,81.31529,83.344086
70,12.427766497811676,746,80.08403733780167,83.65171050000001,88.40974975
75,12.668445934982431,761,78.56309455978983,83.433859,88.441851
80,12.397842441293362,744,80.27552576612901,85.6339121,95.576079
85,12.95906979558747,778,76.80526376606691,82.36817540000001,83.94670934999999
90,12.524050121433849,752,79.47151140425538,83.7348771,90.6422722
95,12.34826960096503,741,80.57461592442647,83.752022,89.679577
100,12.528356279262317,752,79.39277543617024,82.1963245,91.22060094999999
