"gpu_quota","throughput","req_count","avg_latency","p90_latency","p95_latency"
3,13.186095433784315,792,75.41837621212123,75.717297,76.00132475
4,13.197292894077403,792,75.38912258080809,75.4756326,75.7985953
5,25.190339683163078,1512,39.324306565476206,39.7640754,40.23285295
6,25.071618308790484,1505,39.50065252491693,40.0741688,40.451627800000004
7,25.07029914107351,1505,39.50466211893684,40.037753,40.3724152
8,34.633943414639546,2079,28.483389273208296,29.097565399999997,29.5740077
9,34.58262996413902,2075,28.52987857445776,29.099959400000003,29.5226229
10,43.64579442364158,2619,22.529042563955713,23.1575232,23.7010423
15,56.26853622755596,3377,17.411592908794784,18.0855188,18.5436108
20,70.37511230741806,4223,13.851344069382,14.742195599999999,15.1347591
25,74.10865792063082,4447,13.115629839442317,13.7664996,14.275993799999998
30,82.82139336645331,4970,11.717303388933585,12.607785300000002,13.198731
35,83.86090681306197,5032,11.558095498012712,12.4496652,13.082245799999999
40,84.15940635530887,5050,11.50145971227719,12.5766941,13.284299200000001
45,84.5730043435112,5075,11.445085277438423,12.5747772,12.980309900000002
50,84.47926228753961,5069,11.45149955553367,12.4396424,13.109839399999998
55,84.35930749671189,5062,11.465187677597797,12.383876800000001,13.1347966
60,85.19408032908557,5112,11.351797353482002,12.4631132,13.110852
65,85.96858479647364,5159,11.252377268850575,12.3940888,13.017522299999998
70,85.02888475246071,5102,11.370054740493954,12.5590451,13.2043474
75,85.22090598335552,5114,11.349857263981246,12.5470808,13.165213999999999
80,83.20179072313692,4993,11.644245078509886,12.337331200000001,12.9491704
85,84.27167085460984,5057,11.493283340122627,12.597635,13.1765916
90,85.05032363603517,5104,11.385678132249183,12.413435999999999,12.9895412
95,84.77365396512305,5087,11.426035739532136,12.4006402,13.118743
100,85.50472475473963,5131,11.32018750516468,12.546794,13.403992500000001
