"gpu_quota","throughput","req_count","avg_latency","p90_latency","p95_latency"
3,2.083375670744345,126,479.5241285158731,479.945536,480.565037
4,2.083335688832304,126,479.58454723015865,479.9408195,480.86045924999996
5,4.082809625762797,245,244.49174817142858,245.1260478,245.9681442
6,4.076383708733127,245,244.84583164897955,245.348403,245.998382
7,4.080044914441364,245,244.68101208571423,244.9016936,245.70026860000002
8,5.8881209496443585,354,169.42511460169507,170.5839105,171.30038265
9,5.886824085900617,354,169.42072165254228,170.4170117,171.17332664999998
10,7.818368128442552,470,127.47898492765944,128.1190376,128.92007225
15,11.30706340170631,679,88.02258910014729,88.9473106,89.7718677
20,15.48152770933927,929,64.22117454036595,64.6615132,65.1115798
25,17.398779134337676,1044,57.0950147681992,58.025952700000005,58.5496776
30,20.826063590076078,1250,47.629103236799935,48.409527800000006,48.88320245
35,23.644825929635715,1419,41.88917089570124,42.913532000000004,43.7994716
40,26.175604412884695,1571,37.81845251177596,39.444442,40.328548
45,26.967463009218786,1619,36.66949973749229,38.109521,39.1472041
50,28.89126767694239,1734,34.204202682237586,35.7876259,36.9012307
55,30.36311146664475,1822,32.54881953402854,33.9501602,34.79496765
60,31.60512644822792,1897,31.284614822878307,33.650375600000004,34.7413366
65,31.867429311155018,1913,31.005402072660726,33.312081400000004,34.935493199999996
70,32.40792886627195,1945,30.455549017994883,32.765467,34.2881956
75,32.8235543901152,1970,30.10003942385786,33.113792000000004,34.3976205
80,34.79718743961147,2088,28.367341915229844,31.9057401,33.01963535
85,33.52251073656495,2012,29.453385848409482,31.623654600000002,32.76399819999999
90,34.1678792675985,2051,28.893235379814776,32.382227,33.605650499999996
95,35.48923761897384,2130,27.781456328169,30.8451945,32.1147302
100,36.683273063937634,2202,26.879568095367926,30.778205,32.107994299999994
