"gpu_quota","throughput","req_count","avg_latency","p90_latency","p95_latency"
3,12.12211532779409,728,82.11993672802204,82.2062426,82.50066735
4,12.128851706860141,728,82.09388728434068,82.2443741,82.665791
5,20.778398119204923,1247,47.76678370248599,48.7045564,50.2846203
6,20.760811911829478,1246,47.805871479935774,48.605173,50.098129
7,20.720724941080594,1244,47.888666899517624,48.6433511,49.996435999999996
8,24.35150490995156,1462,40.70595113132695,44.195130500000005,45.3223879
9,23.87290895906613,1433,41.52574791486392,45.8145962,48.08851619999999
10,25.27224657271918,1517,39.21884603493743,45.3441836,46.857178400000016
15,25.97550676768139,1559,38.151143193713914,43.4696182,44.575564099999994
20,26.267300859041864,1577,37.71465315472411,45.2550894,46.896023599999985
25,25.578251141589032,1535,38.73202123127033,44.400758599999996,45.533594799999996
30,24.70877577457672,1483,40.122192790289944,45.2064568,46.691046799999995
35,24.385599202661027,1464,40.657510159153084,44.90132800000001,46.485072849999995
40,25.887725608880977,1554,38.27831922779922,44.5823373,46.361494349999994
45,25.944663905625912,1557,38.18203758060368,44.4850848,46.2963932
50,25.538904591827748,1533,38.80188249380294,43.799033800000004,45.08741159999999
55,25.526377244077818,1532,38.811411283942604,43.807714000000004,44.873838
60,24.78987847110737,1488,39.97846945161291,45.5323563,47.1871668
65,24.516033642656584,1471,40.42174869748471,45.303311,46.8310725
70,25.03806085314929,1503,39.59104400266126,44.3751178,45.659901
75,25.206933184185665,1513,39.318647449438146,44.1257016,45.2235064
80,25.512904118390246,1531,38.83855814892233,43.546948,45.146579
85,26.02941749162619,1562,38.05935593982074,43.9152599,45.119124199999995
90,24.34333986426286,1461,40.71660983436001,46.220353,47.762434
95,25.03661049164613,1503,39.594983382568294,43.8438282,44.9924885
100,26.034737046888157,1563,38.05858738771591,44.6567316,45.819429199999995
