"gpu_quota","throughput","req_count","avg_latency","p90_latency","p95_latency"
3,109.200496974158,6553,8.779320270257942,9.0403548,9.1848964
4,109.24475017434203,6555,8.78254167139592,9.0705084,9.2024586
5,188.39148357145382,11304,4.926518132077135,5.3931884000000005,5.7823685000000005
6,190.3156045596846,11419,4.879613845520609,5.3300220000000005,5.6328858
7,191.62361546424148,11498,4.844352801704663,5.2258223,5.56146135
8,189.2386001752601,11355,4.907992012505538,5.372187,5.726195499999999
9,189.25548573014444,11356,4.904434387108147,5.352448,5.74153675
10,190.7464472094562,11446,4.871217258343492,5.2696585,5.61336975
15,191.38095717607618,11483,4.853917785073584,5.2920348,5.6456805999999995
20,191.1417032395153,11469,4.858011275786906,5.2880308000000005,5.663299800000002
25,188.65291337249582,11320,4.929651282067149,5.3526654,5.6900634
30,189.8702264681846,11393,4.893455017203541,5.323044000000001,5.6429494
35,191.1171433541798,11468,4.861620518747812,5.3448924000000035,5.70717355
40,192.08757053194734,11526,4.832429950373054,5.2206515,5.622977000000001
45,189.870765527873,11393,4.9035884596682004,5.364360200000001,5.715544799999999
50,188.7139541551943,11323,4.930096374105828,5.3464118,5.7135455
55,190.3305019736138,11420,4.882858040105099,5.3061031,5.6588236
60,189.93317803310904,11397,4.894919639115559,5.349684999999999,5.708058399999998
65,190.5593020832072,11434,4.871596920675193,5.329299000000001,5.698751600000001
70,190.57050280579563,11435,4.879268362133807,5.3342724,5.6991636
75,190.87027076051916,11453,4.864591293023646,5.2802696000000005,5.6139361999999995
80,190.17440641357422,11411,4.885321903952326,5.306796,5.681076
85,192.1718279067078,11531,4.831466878761582,5.203174,5.5117005
90,192.22888519857943,11534,4.831065654673158,5.2063166,5.56918225
95,190.91998597074212,11456,4.8674768015013745,5.2926705,5.67547375
100,191.68082790517857,11501,4.841853954873502,5.224777,5.564131
