"gpu_quota","throughput","req_count","avg_latency","p90_latency","p95_latency"
3,0.36419438154539846,22,2745.145068227273,2744.7710418,2747.34748415
4,0.3647370001029007,22,2741.0922045909088,2735.1919629,2737.12703615
5,0.7226936423195078,44,1383.0084804772725,1379.7935699,1387.6955500000001
6,0.7230871053412637,44,1382.3678873181816,1378.9573923,1381.4624116999998
7,0.7218827600654036,44,1384.733675318182,1381.2695752,1385.6883010000001
8,1.070198429650291,65,933.8660508307693,931.3732044000001,935.8899124000001
9,1.0693734466421052,65,934.5757045076924,933.560352,936.1135343999999
10,1.4159054104795643,85,705.7196225411767,704.3800600000001,704.9907878
15,2.0925303125043384,126,477.42656947619037,476.27909850000003,477.1139035
20,2.7632059121723618,166,361.4396171084339,361.2407455,362.050605
25,3.422449562804977,206,291.7928506116505,291.446907,292.1349705
30,3.9990394422565334,240,249.61514218749986,249.3971603,250.2540318
35,4.642223475436687,279,214.91477600000016,215.62106419999998,216.4545068
40,5.126764394478057,308,194.6423874090908,195.75918280000002,196.5783686
45,5.724442914659703,344,174.29782317151162,174.9033339,175.70608115000002
50,6.22782632849494,374,160.20664592513367,160.863978,161.5549443
55,6.615956517612682,397,150.79158434256928,151.449172,151.8585672
60,6.979969312809465,419,142.87061792362763,143.8898198,144.8319415
65,7.811191954543969,469,127.62771350319845,128.6398454,129.437848
70,8.275574465462338,497,120.44298459557349,121.1580222,121.7952638
75,8.540222442943149,513,116.7095709980507,117.29747760000001,118.1078684
80,8.969399555892885,539,111.1102250463822,112.5762572,113.3423566
85,9.442317739414786,567,105.52891477072306,106.3915856,106.91831280000001
90,9.627130558994383,578,103.46931877162632,104.7726925,105.2229382
95,9.912382271379608,595,100.42015380000001,101.7777466,102.6955732
100,10.160373339209979,610,97.97850164590163,99.3360997,100.16966135
