"gpu_quota","throughput","req_count","avg_latency","p90_latency","p95_latency"
3,4.138940127138292,249,241.1752388955824,238.6008902,240.0201184
4,4.1512912475388575,250,240.45635332000003,238.174052,239.49408135
5,7.909930278823953,475,126.02128834526299,124.7769368,125.7695363
6,7.92604588790581,476,125.7735758424369,124.509458,125.14361375
7,7.917415869767633,476,125.90512862394962,124.64292800000001,125.27687800000001
8,11.163456046846541,670,89.19934807611939,89.04204179999999,90.64399384999999
9,11.185942578980036,672,89.00526511309519,88.56141649999999,90.55896064999999
10,14.126826236986524,848,70.42709690566029,70.33317430000001,71.8428455
15,16.75392851101519,1006,59.315525338966175,62.6939945,65.20534325
20,19.09649807813521,1146,52.00449105061084,57.09716,59.870061
25,20.259096626284464,1216,48.990226615131526,52.966885500000004,54.54125225
30,22.106873410541738,1327,44.85952912509418,51.3564608,53.771829
35,23.46270441809986,1408,42.268115029829545,50.3999164,52.005155999999985
40,22.16188727247142,1330,44.746411471428544,50.145919500000005,53.21481055
45,21.392193359712557,1284,46.35512556853583,52.0583052,54.19450205
50,21.6950096975981,1302,45.713390762672866,49.9265954,52.206426650000004
55,22.048317814038107,1323,44.977089136810406,48.655807,50.70297149999998
60,21.016355342287895,1261,47.199892173671635,50.704691,53.079323
65,22.475188408961294,1349,44.11827912750185,48.46885,50.865259599999995
70,23.049036248342443,1383,42.996141289949364,47.7061006,49.6245872
75,21.653356634167952,1300,45.77690447230769,49.869382,53.31445624999999
80,24.14190705294772,1449,41.05979348861288,46.0070034,47.92537659999999
85,26.28318936976495,1578,37.69006881558933,43.7988571,45.44593425
90,23.191285532776117,1392,42.74888467528748,46.8908626,48.5232156
95,24.646113265218144,1479,40.200747375253606,45.5675004,47.6435537
100,24.237614494161832,1455,40.8892317243986,46.1762774,48.2428116
