"gpu_quota","throughput","req_count","avg_latency","p90_latency","p95_latency"
3,0.7803190671474369,47,1281.006647319149,1278.137668,1280.8397127
4,0.7802534453974239,47,1281.0717773191489,1278.749232,1280.1160851999998
5,1.550358871994264,94,644.4912777446805,643.190752,643.7672922
6,1.5503051482297288,94,644.5340255319148,643.7864909,644.63986105
7,1.5501148526952355,94,644.6621496489365,643.4929616,644.34884615
8,2.2988807869769445,138,434.53807470289854,433.87308409999997,434.69933735
9,2.2991371193545422,138,434.460240021739,433.6771853,434.4333553
10,3.0450708317859814,183,327.95854032786866,327.5149464,327.80785860000003
15,4.494268461827574,270,222.08841024814822,221.98837460000001,222.9456605
20,5.929027800719731,356,168.24917463483146,168.31197,168.76714175
25,7.323697366132558,440,136.1462744863636,136.2591444,136.81076855
30,8.581978563889017,515,116.1378304970874,116.2822104,116.8294469
35,9.832141368414767,590,101.31420077796605,101.9980777,102.87488295
40,10.920150194589839,656,91.19887333841467,92.44748100000001,93.12609875
45,12.175658639059428,731,81.76720685772904,82.759934,83.39840849999999
50,13.36945813310972,803,74.44902245330005,75.4963808,76.32723759999999
55,13.954782619587478,838,71.29134563603822,72.0935423,72.87069460000001
60,14.579819869144503,875,68.21761595314291,69.1653562,69.8698923
65,16.26393616213195,976,61.11334790061466,62.318110000000004,63.23381175
70,16.84263353624741,1011,58.97558946389716,59.841916,60.817954
75,17.377708474658128,1043,57.165732845637606,58.2924558,59.0592666
80,18.221266966486837,1094,54.49223394606946,56.5409991,57.49006405
85,19.438655871926372,1167,51.04696550128533,52.7922808,53.8827955
90,19.973532091440443,1199,49.682924839866594,51.3978012,52.745844999999996
95,19.68751101673017,1182,50.39435702707277,54.680836500000005,55.937094300000005
100,19.80059991933574,1189,50.08954680824225,55.021233,56.066534000000004
