"gpu_quota","throughput","req_count","avg_latency","p90_latency","p95_latency"
3,15.78842044930614,948,62.97827022573841,62.79128,63.199725
4,15.815123493339705,949,62.87446993993676,62.937268,63.4221958
5,25.893266479787428,1554,38.239635053410524,40.6956124,42.19257605
6,26.66259945776002,1600,37.143751542499935,38.5775735,39.7940797
7,26.697509458756116,1602,37.09537286079908,39.1023001,40.08029464999999
8,29.380704412050413,1763,33.65633731423703,36.3575858,37.7911221
9,30.60862409917192,1837,32.3017157980403,35.8742594,37.6797128
10,32.519629634032725,1952,30.38905545696719,34.4269076,35.40953395
15,34.923950597828146,2096,28.263738614980916,34.382067,35.932745
20,34.55692902514285,2074,28.58695466345225,33.8293758,34.91853774999999
25,31.289917348240646,1878,31.587070315228996,34.918549999999996,37.12335574999999
30,30.375125348736525,1823,32.55019714371908,35.37812039999999,37.238378399999995
35,32.233133162353084,1934,30.665655086349524,34.8955729,36.58084255
40,31.705054864700273,1903,31.161066776668452,35.2110864,36.580279999999995
45,34.441220663063426,2067,28.66877859603289,34.5128974,35.70060199999999
50,34.26486591033253,2056,28.80755228988331,34.919228000000004,36.443516
55,34.4162707237306,2066,28.703131285091985,34.229988,35.69571075
60,34.32243318068138,2060,28.77438657475725,34.8927645,36.7926253
65,32.5412012328681,1953,30.334713867895534,34.7669764,36.173276
70,30.91889936151203,1856,31.962822778017177,35.278876999999994,36.490922499999996
75,34.34932424230925,2061,28.742358392527905,34.375795,35.76984
80,33.220452618854736,1994,29.728368353560672,36.158367999999996,38.62232535
85,33.790552333336244,2028,29.233112281558235,34.725592,36.43110045
90,33.56473747911706,2014,29.42065393545191,34.3904316,36.09036905
95,32.20537882255627,1933,30.678257565442323,34.7559776,36.2568706
100,31.291377390289693,1878,31.578672062300328,35.2782895,37.038345799999995
