"gpu_quota","throughput","req_count","avg_latency","p90_latency","p95_latency"
3,11.211693664070362,673,88.80710136255577,89.0370142,89.5843838
4,11.206687170576377,673,88.87245555274885,88.86115699999999,89.2259074
5,19.862854743507704,1192,49.992097677013426,51.395278,52.430793200000004
6,19.8053004958165,1189,50.130972555929326,50.9555134,51.8917982
7,19.78814472164759,1188,50.1880942525253,51.8034689,52.98630335
8,23.054773000534322,1384,43.00948234104047,44.932067599999996,46.0216853
9,23.744501836732553,1425,41.74883085614043,44.392474,45.8350786
10,26.719632566077536,1604,37.0669599158354,41.6742318,43.1742287
15,27.47214875629078,1649,36.04361986294728,40.9513108,42.36271059999999
20,27.763171140902415,1666,35.66312122749098,40.5411625,41.4713325
25,27.20230388285928,1633,36.404146102265756,40.8819204,42.476592399999994
30,27.606048543013554,1657,35.8583803464092,40.576617399999996,41.68059399999999
35,27.22223699102623,1634,36.3643275832313,40.9477374,41.92887854999999
40,26.81286249035885,1609,36.924644806090726,40.496816599999995,42.5726942
45,27.825550958490044,1670,35.58557395389216,40.833483199999996,42.7378807
50,27.52857135618038,1652,35.96449179721555,41.073733499999996,43.67609875
55,28.527825741786348,1712,34.67313198831776,41.021515,42.68326524999998
60,27.16738242221624,1631,36.439924711220115,41.104246,42.5550635
65,26.62200528406589,1598,37.172631140175234,40.5713273,41.79351104999999
70,26.50563054025017,1591,37.324426355751065,42.373656,44.663344
75,28.3799509790847,1703,34.856293928948894,40.645609199999996,42.223991399999996
80,28.262056562826345,1696,35.007372281839636,40.5663435,42.05818625
85,26.6100608831478,1597,37.21283207514094,42.3189518,44.247644199999996
90,27.5069029140578,1651,35.99647945366444,41.065122,42.8816875
95,27.652023456072037,1660,35.77991993975903,41.1721013,43.44343995
100,29.349882084402903,1761,33.70400163429869,40.209119,41.402658
