"gpu_quota","throughput","req_count","avg_latency","p90_latency","p95_latency"
3,0.9028885510662281,55,1106.999579981818,1093.7212246000001,1095.4957067
4,0.9017079917647354,55,1108.4422769454543,1094.9819618,1095.8286256
5,1.7700498652598604,107,564.460244504673,557.3425394,559.0450916
6,1.7647777660506723,106,566.1292530188682,560.7429425,562.7297034999999
7,1.7657322218989278,106,565.8582545566039,557.910174,559.120986
8,2.586246100775504,156,386.2288008717949,380.44813999999997,381.4839375
9,2.607774855552964,157,383.0028892165606,378.6081438,379.82668
10,3.402708626238637,205,293.4440562487806,291.22554959999997,293.7627608
15,4.896770770079902,294,203.77349609183682,201.597033,202.08588515
20,6.41043712150351,385,155.59622721298692,154.6817776,155.5664712
25,7.639893386350388,459,130.49580759912857,129.8742928,130.6662613
30,8.829031097603053,530,112.87170150566043,112.1126498,113.14611154999999
35,9.863196690343052,592,101.00321791385136,100.260648,100.7863503
40,11.115676685604397,667,89.5784739265369,89.4266378,90.5413519
45,11.971927034158684,719,83.14653008623094,82.6496672,83.5450903
50,12.87673643146013,773,77.2764782548512,76.99681939999999,77.74193960000001
55,13.5197612049107,812,73.58801004187185,74.02344719999999,74.85491174999999
60,14.44364595801052,867,68.86957666897341,68.8619684,70.2684776
65,14.862860782210463,892,66.90567226345294,67.5892263,68.50874515
70,15.573635819787588,935,63.834042930481296,64.1068186,65.2811818
75,16.200614595506387,973,61.359810724563125,61.6425284,62.67240219999999
80,16.722288488095252,1004,59.426297613545806,59.5255706,60.97166805
85,17.260909567893258,1036,57.56368616409265,57.4190995,58.3599645
90,17.64975524407829,1059,56.279558903682705,56.4638202,57.6887028
95,18.158364476002365,1090,54.69746393577982,55.0951419,56.0947685
100,18.551087233883354,1114,53.53428810682225,53.8483878,55.70056504999997
