"gpu_quota","throughput","req_count","avg_latency","p90_latency","p95_latency"
3,13.569636944219702,815,73.30635373865033,73.6532462,73.9307874
4,13.588531769279774,816,73.21968612132365,73.551842,73.95730925
5,25.70192409655056,1543,38.535448322099775,38.9286958,39.3561484
6,25.670734210144587,1541,38.57688583322522,38.952709,39.242106
7,25.829574933014822,1550,38.35421227354839,38.7680176,39.1225789
8,35.47420962144177,2129,27.80502527947393,28.2346962,28.573331
9,36.54692557333495,2193,27.000046274509792,27.9478328,28.235308000000003
10,45.036245065310545,2703,21.827923877913385,22.3938026,22.7915223
15,58.69162632970261,3522,16.663804096819973,17.1933275,17.53337965
20,70.17941312301285,4211,13.878478057943527,14.397234,14.8095935
25,76.48133635210425,4589,12.707375075179801,13.133433799999999,13.587073799999999
30,83.16657384239736,4991,11.640277230014037,12.116517,12.5789715
35,92.03051779768708,5522,10.514945751177121,10.8765898,11.2631487
40,98.20238859911797,5893,9.820965819446823,10.3540666,10.924558399999999
45,99.93323743526128,5997,9.632225666166416,10.1268436,10.625956399999998
50,102.42210684790876,6146,9.391225892938486,10.213692,10.64824725
55,101.96877662597345,6119,9.425971003431926,10.1435584,10.7537887
60,102.83974750106862,6171,9.33959686485173,10.012773,10.557096999999999
65,103.7800609058595,6227,9.250776013489638,10.1775566,10.7242828
70,101.77360725883298,6107,9.440906611756983,10.256643,10.671574099999999
75,103.74881041095239,6225,9.252482390682706,10.021087600000001,10.573316199999995
80,102.57346665993936,6155,9.377368301868378,10.166042599999999,10.730557099999999
85,104.61462449155627,6277,9.196684927194525,10.0983608,10.586480799999999
90,102.5575345779993,6154,9.372722490575242,10.170358199999999,10.664540899999995
95,101.92868346401168,6116,9.431576196206654,10.315182,10.87545725
100,103.91564683331286,6235,9.253525901042527,10.0965914,10.5110611
