"gpu_quota","throughput","req_count","avg_latency","p90_latency","p95_latency"
3,22.00848014626329,1321,45.07291518168055,45.482359,45.860469
4,22.035432004237713,1323,45.0217707316704,45.3086386,45.627749200000004
5,41.9939064203167,2520,23.440128618254008,24.145252,24.681435649999997
6,41.95659188409492,2518,23.467545623510706,24.1219591,24.657191800000003
7,42.27117265670552,2537,23.30236453291291,23.921475,24.511060599999997
8,50.23289736704037,3014,19.545058524552072,21.146045100000002,22.07189905
9,50.28042497276772,3017,19.521379924096735,21.1677782,21.951503399999996
10,55.360645222151405,3322,17.70116268001201,20.0244819,20.89777465
15,55.313978764073894,3319,17.714738511298567,20.0993788,21.0468741
20,53.659523066476346,3220,18.266290860248414,20.4502852,21.672442
25,55.085141731400476,3306,17.781377656079826,20.498403500000002,21.578536
30,53.63984482590578,3219,18.26991777477473,20.6331682,21.5874852
35,55.168606666846145,3311,17.740653298399298,20.053704,21.007506499999998
40,55.64757095663141,3339,17.599666265648413,20.175086,21.4017034
45,53.30123131055818,3199,18.389365171928716,20.5302298,21.4298987
50,56.60971623892629,3397,17.301550529290555,20.3605806,21.266099999999994
55,56.26074818598616,3376,17.40449605657582,19.7520935,20.454315
60,57.22122864781221,3434,17.111603791496776,19.738361700000002,20.554523149999998
65,56.27267257117827,3377,17.403578444477333,19.9652,20.702448
70,56.50078926310754,3391,17.355240598643466,19.249754,20.3305625
75,55.27537993395334,3317,17.715918043111266,20.0406802,20.8765556
80,56.52657971658963,3392,17.32996083991742,20.2269921,21.280366249999997
85,54.49396290085175,3270,17.973662170030593,20.0855505,21.130053949999997
90,53.10762266423435,3187,18.46464321399432,20.366030600000002,21.225879699999997
95,56.090332497456586,3366,17.466303166666677,20.250418500000002,21.287580249999998
100,53.705480032683056,3223,18.25451268910955,20.5897548,21.6716432
