"gpu_quota","throughput","req_count","avg_latency","p90_latency","p95_latency"
3,51.36445179811824,3082,19.098314309863735,20.6615465,21.654565849999997
4,51.33382969648863,3081,19.109038233365784,21.121381,22.312653
5,53.62347039255459,3218,18.280408952144224,20.288155500000002,21.47442489999998
6,53.044637073145935,3183,18.484735074143867,20.545751799999998,21.481934799999998
7,53.38180367952829,3203,18.364868188261013,20.8158918,22.021174699999996
8,53.14407511675437,3189,18.447514429915362,20.173742999999998,21.033495
9,53.83039890282458,3231,18.20669650479726,20.540804,21.725613
10,54.6864715458274,3282,17.91705639975627,20.4433894,21.563414949999995
15,52.82330585348918,3170,18.556307107886404,20.152417800000002,21.410163949999998
20,51.81187524001888,3109,18.929500062399462,20.7967266,21.971779599999998
25,51.58521623586664,3096,19.011506449289406,20.755215,22.008461750000002
30,51.63466940073637,3099,18.98553438883509,20.654420000000002,21.751162799999996
35,53.86197484788692,3232,18.196605755259863,20.459729600000003,21.778075599999998
40,54.78739550586762,3288,17.884046882907505,20.5035937,21.549750149999998
45,52.41196452202838,3145,18.70647804674084,20.8168938,21.940447799999998
50,54.529789806734556,3272,17.969625102689452,20.6115773,21.748571849999998
55,53.67404057314284,3221,18.25804650450174,20.377808,21.595219
60,53.778242089791235,3227,18.22344811031917,20.2900856,21.572066999999997
65,55.05710129547978,3304,17.788618273910426,20.293802200000002,21.192874850000003
70,54.664276278039296,3280,17.921520381707342,20.4534901,21.4631384
75,50.415687379766354,3026,19.46318880931924,21.247857,22.442124500000002
80,51.84832783871474,3111,18.913335282224356,20.793633,21.746441500000003
85,53.64796199171348,3219,18.25905353184218,20.2964064,21.3319004
90,54.33957605180522,3261,18.024019138914447,20.24304,21.174104
95,54.366179965408975,3263,18.028637217591225,20.4677006,21.363924099999995
100,53.662561150713884,3220,18.26302827422358,20.2538577,21.3895485
