"gpu_quota","throughput","req_count","avg_latency","p90_latency","p95_latency"
3,15.646942855711064,939,63.56135314589991,63.7933862,64.29306410000001
4,15.653118603193793,940,63.50442235957439,63.6544257,64.13752154999999
5,27.528244908395937,1652,35.96564317978211,37.4258347,38.657967549999995
6,27.24304190733633,1635,36.34022070519875,37.3176136,38.3341133
7,27.4887273947231,1650,36.022260209090916,37.421260000000004,38.904038299999996
8,31.16776577404417,1871,31.731669795296696,35.080218,36.434068999999994
9,31.039318550014286,1863,31.837658678475567,35.1839704,36.3442298
10,33.6901560901371,2022,29.329496455984206,33.207401,34.2226576
15,34.2549932654764,2056,28.823419982490265,32.963077,34.23317675
20,34.28257930342872,2057,28.79940457413712,33.474726200000006,35.73645079999999
25,36.008567409634914,2161,27.407514791763067,32.608086,34.291957
30,36.7750754503013,2207,26.839096142274546,31.729884600000002,33.06499719999999
35,35.643137172944144,2139,27.690475455820494,32.3670704,34.2119267
40,35.55915572607676,2134,27.761861271789993,32.1779139,33.512900949999995
45,35.577184021644,2135,27.738990692271674,31.901232,33.105351799999994
50,34.62447790843649,2078,28.50149985996152,33.0282629,34.439652949999996
55,33.742631384823696,2025,29.26471954469133,32.03098060000001,33.9666582
60,33.330422696954095,2000,29.63067684599998,33.3012115,34.424389399999995
65,33.69985037266434,2022,29.298233367457982,32.805042,34.2744504
70,34.87187338667628,2093,28.309579003822243,31.5928618,32.9556186
75,34.27377250626213,2057,28.81884326057362,32.451399,33.89670079999999
80,33.88629656691343,2034,29.133044243362793,32.2490935,33.894693849999996
85,35.01333364823225,2101,28.194265931461207,31.866651,33.558533
90,34.697272343329274,2082,28.45269943804038,32.1331522,33.50974535
95,33.818616831360366,2030,29.203198761083755,32.98020270000001,34.47599615
100,33.82615744778221,2030,29.184391398029593,32.4954268,33.9565832
