"gpu_quota","throughput","req_count","avg_latency","p90_latency","p95_latency"
3,11.030504294488017,662,90.22161329758303,90.5484085,90.9889385
4,11.101994660203754,667,89.6979967031484,89.7994344,90.1438306
5,21.366589151482362,1283,46.44409730085732,46.7080022,47.0511759
6,21.045442508056,1263,47.09480912272365,47.482931,47.7563015
7,21.120744823799107,1268,46.934606233438465,47.3551691,47.686600750000004
8,29.766227046778894,1786,33.20176928163495,33.7220625,34.09480375
9,29.80165411767679,1789,33.132726488541074,33.6424154,33.9876544
10,38.065070933849455,2284,25.858242255253916,26.405114700000002,26.74212695
15,50.99581649359924,3060,19.248047877124172,19.8105847,20.163065099999997
20,62.913052134616436,3775,15.537293091920523,16.153945,16.4969109
25,67.49546915289746,4050,14.454021404197514,15.007893399999999,15.57917635
30,76.1578543245674,4570,12.776635842231963,13.2896972,13.6893182
35,83.4058399088889,5005,11.649595412987079,12.1040472,12.569398200000002
40,92.11841237058303,5528,10.511167407923278,10.9552147,11.34448305
45,94.50549570912513,5671,10.237699431846247,10.725402,11.0872945
50,94.6251636663841,5678,10.198587085945789,10.8310361,11.261592499999999
55,96.73162872695971,5804,9.95578224948312,10.665701799999999,11.231503549999998
60,98.16410337451406,5890,9.802335721052609,10.586883700000001,11.07039815
65,98.67874553971531,5921,9.747773267522344,10.443354,11.026489
70,96.97896440350958,5819,9.921304296270835,10.7268334,11.258046099999998
75,96.97307702917654,5819,9.93698606753739,10.7065678,11.236559899999996
80,98.9715072180387,5939,9.734724229499957,10.540819200000001,11.061222
85,98.0964733614802,5886,9.820691283384326,10.746521999999999,11.373717
90,98.50668859253994,5911,9.769243924716585,10.739018,11.345434000000001
95,96.1526734126581,5770,10.031274344367414,10.8062773,11.4403438
100,98.1600610687931,5890,9.811859265025504,10.7085722,11.165246650000002
