"gpu_quota","throughput","req_count","avg_latency","p90_latency","p95_latency"
3,0.14391333522834254,9,6947.77410811111,6961.039226999999,6999.6973069999995
4,0.14395687757451733,9,6945.776941555556,6958.5390370000005,6995.371769
5,0.28813964370648115,18,3469.869361611111,3467.7948888,3482.9271618
6,0.2880572580629684,18,3470.8808186666665,3472.7161296,3487.60529805
7,0.7680262398315312,48,1301.6293461041669,3466.4628094,3468.54744755
8,0.42805363374737593,26,2335.5502672307694,2335.3966135,2336.6682957499997
9,0.428259119855291,26,2334.403734692308,2335.2591015,2337.7917735
10,0.5780372995636489,35,1729.403900942857,1729.5165864,1732.677445
15,0.8481165374251116,51,1178.4928457254905,1177.968447,1183.552809
20,1.1333208101761583,68,881.794446647059,882.8730848,883.6485831
25,1.4046641472664174,85,711.3608829176468,711.9394744,713.2579958
30,1.6624058560946826,100,600.9883499799997,601.8541189,602.5500416
35,1.9625896853668867,118,509.03158732203383,509.6150237,510.00007485000003
40,2.1910759257792205,132,455.87726781818156,457.0731677,458.16440515
45,2.4207775013932533,146,412.646557671233,413.32263950000004,414.41558775
50,2.73299109406808,164,365.4377956280489,366.0551503,366.70017865
55,2.981133549670048,179,335.0023775977653,335.75248220000003,337.0069698
60,3.238238824853251,195,308.3816504820513,308.68513579999995,309.2766878
65,3.3882336901254733,204,294.69871764215696,295.58802230000003,296.3626125
70,3.8112551676592665,229,261.93393455895205,262.6254204,262.9638098
75,4.009176897054064,241,248.97587023236514,249.449654,250.311331
80,5.429425284412172,326,183.79236341411047,237.9676895,238.7658615
85,4.4861604239610315,270,222.5037075074074,240.50986840000002,240.97629685
90,4.412606546852838,265,226.19932921886797,229.3240586,231.2125246
95,4.841592639903694,291,206.13869579381435,209.531718,211.501749
100,4.987292046630954,300,200.1477099833334,202.441752,205.53946925
